,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
5886,Bhutan,2014,BTN,736362.0,,0.263,0.358,0.948,0.096,11.222,8.863,-1.48,-14.308,12.036,,0.516,1.288,,0.055,0.253,0.343,,,,2.118,10.544,576.449,2.925,0.0,0.0,1020.204,5.501,,23328.471,,0.0,0.0,0.0,0.0,1.82,0.081,7.914,10.748,0.52,0.706,0.13,0.177,0.432,0.587,,,17.178,0.018,0.003,0.022,0.002,0.006,0.001,0.026,0.0,0.0,0.0,0.143,0.001,,0.0,0.0,0.161,0.004,,0.02,0.0,0.0,0.0,0.0,0.06,1.34,,
6058,Bolivia,2014,BOL,10916991.0,63863336960.0,1.316,0.121,20.676,1.687,8.882,55.74,-10.478,-15.823,5.106,0.873,0.657,1.894,0.324,0.244,0.015,0.001,20.214,1.852,0.317,18.874,418.729,5628.863,0.256,55.029,107.2,7538.423,237.37,,7770.678,1.328,0.095,0.009,8.193,0.75,5.148,10.692,35.064,3.212,27.85,2.551,8.44,0.773,11.058,1.013,,,84.832,0.088,0.058,0.138,0.0,0.055,0.028,0.257,0.0,0.352,0.053,1.059,0.046,,0.024,0.123,0.713,0.095,,0.296,0.001,0.003,0.004,0.0,116.72,56.2,-0.461,-2.231
6230,Bonaire Sint Eustatius and Saba,2014,BES,22599.0,,0.0,0.0,0.084,0.0,0.0,0.084,0.0,0.0,3.729,,,3.729,,,0.0,0.0,,,,0.0,7.921,8.141,0.0,0.0,0.0,0.22,7.921,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.084,3.729,,,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.001,,0.0,,0.0,0.0,,,,,
6402,Bosnia and Herzegovina,2014,BIH,3571070.0,36520341504.0,0.321,0.09,19.312,-2.489,-11.418,17.773,-1.28,-6.719,4.977,0.487,0.251,5.408,0.529,0.272,14.55,4.074,,,,9.22,824.63,1609.386,656.92,0.325,21.647,1102.095,136.518,,19855.676,1.942,0.0,0.0,0.348,0.097,6.908,5.867,-1.539,-0.431,3.55,0.994,1.43,0.4,4.093,1.146,,,70.906,0.021,0.054,0.044,0.097,0.027,0.056,0.073,0.094,0.002,0.011,0.155,0.026,,0.0,0.005,-0.031,0.035,,0.056,0.0,0.001,0.001,0.0,20.95,24.67,,
6574,Botswana,2014,BWA,2260383.0,32048893952.0,0.006,0.003,6.85,1.187,20.962,8.096,-5.958,-42.393,3.582,0.253,0.421,3.031,0.214,0.356,3.844,1.7,14.268,6.312,0.445,0.22,110.579,230.392,65.007,0.0,0.0,272.199,45.353,,8513.395,0.6,0.0,0.0,0.0,0.0,5.649,23.93,1.246,0.551,3.13,1.385,2.52,1.115,3.001,1.328,,,19.244,0.0,0.019,0.02,0.026,0.001,0.007,0.011,0.009,0.0,0.0,0.038,0.009,,0.0,0.0,0.025,0.026,,0.045,0.0,0.0,0.001,0.0,54.09,12.77,7.418,108.291
6746,Brazil,2014,BRA,203459648.0,3128572510208.0,26.908,0.132,557.901,25.483,4.786,1727.889,11.047,0.643,8.493,0.552,0.485,2.742,0.178,0.157,69.034,0.339,612.865,3.012,0.196,630.428,13269.53,115510.266,2036.792,332.538,838.945,106323.305,9305.934,124.893,17519.043,1.139,17.642,0.087,81.286,0.4,5.495,6.807,1169.989,5.75,426.63,2.097,176.57,0.868,356.753,1.753,0.031,6.278,3564.418,1.794,1.568,4.267,0.459,1.847,0.895,5.273,0.29,2.128,0.414,14.943,1.784,1.648,4.548,1.222,23.791,3.055,2.059,4.928,0.022,0.046,0.071,0.003,1384.99,1118.1,54.964,9.852
6917,British Virgin Islands,2014,VGB,29000.0,,0.0,0.0,0.213,0.011,5.455,,,,,,,7.328,,0.286,0.0,0.0,,,,0.0,4.448,,0.0,0.0,0.0,,4.448,,25639.906,,0.0,0.0,0.0,0.0,,,,,,,,,0.213,7.328,,,0.744,0.0,0.001,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.001,,0.0,0.0,,0.002,,0.0,0.0,0.0,0.0,0.0,,,,
7189,Brunei,2014,BRN,416670.0,,0.0,0.0,8.831,1.205,15.8,10.223,1.681,19.682,24.536,,0.231,21.194,,0.199,0.0,0.0,8.702,20.884,,0.0,306.525,384.605,0.004,83.557,144.811,78.08,78.153,,106339.25,,0.371,0.89,6.771,16.25,21.912,22.944,1.392,3.342,1.68,4.032,0.15,0.36,1.689,4.054,,,44.308,0.0,0.025,0.025,0.0,0.0,0.021,0.018,0.0,0.535,0.072,0.011,0.015,,0.096,0.102,0.028,0.014,,0.031,0.0,0.0,0.0,0.0,9.56,9.13,-0.129,-1.461
7361,Bulgaria,2014,BGR,7372142.0,115783073792.0,0.911,0.124,45.266,2.588,6.063,40.54,4.566,12.693,5.499,0.35,0.192,6.14,0.391,0.214,26.583,3.606,39.085,5.302,0.338,97.726,3566.571,4670.828,2010.899,4.822,302.058,1251.036,1132.771,18.296,28695.912,1.827,0.384,0.052,5.589,0.758,7.398,5.755,-4.727,-0.641,7.5,1.017,3.86,0.524,10.704,1.452,0.148,1.094,211.55,0.061,0.127,0.1,0.177,0.286,0.24,0.213,0.286,0.031,0.149,0.176,0.217,0.241,0.099,0.084,-0.096,0.092,0.359,0.172,0.0,0.002,0.002,0.0,42.43,54.54,-6.182,-13.656
7533,Burkina Faso,2014,BFA,18169844.0,25255886848.0,0.156,0.009,2.911,0.048,1.664,12.035,-2.664,-18.122,0.662,0.477,0.977,0.16,0.115,0.236,0.0,0.0,3.953,0.218,0.157,1.744,41.099,892.1,0.0,0.0,0.0,1107.041,39.355,,677.646,0.488,0.0,0.0,0.0,0.0,1.494,1.817,9.123,0.502,14.06,0.774,9.15,0.504,2.755,0.152,,,12.313,0.01,0.008,0.03,0.0,0.005,0.003,0.041,0.0,0.0,0.0,0.156,0.008,,0.0,0.0,0.186,0.024,,0.085,0.001,0.0,0.001,0.0,33.02,27.15,1.042,35.783
7705,Burundi,2014,BDI,10494920.0,7764239872.0,0.027,0.003,0.375,-0.023,-5.726,5.908,-1.598,-21.293,0.563,0.761,2.87,0.036,0.048,0.182,0.015,0.001,,,,0.107,9.683,352.963,0.539,0.0,0.0,695.354,9.038,,196.128,0.265,0.0,0.0,0.0,0.0,0.342,0.208,5.533,0.527,1.17,0.111,1.76,0.168,0.333,0.032,,,2.058,0.002,0.001,0.015,0.0,0.0,0.001,0.016,0.0,0.0,0.0,0.098,0.002,,0.0,0.0,0.113,0.003,,0.034,0.0,0.0,0.0,0.0,2.18,3.59,,
7977,Cambodia,2014,KHM,15210817.0,45181947904.0,0.51,0.034,6.834,1.198,21.245,53.807,27.688,106.01,3.537,1.191,1.741,0.449,0.151,0.221,1.243,0.082,23.684,1.557,0.524,3.077,83.343,4701.192,2.298,0.0,0.0,4617.849,77.969,,2031.747,0.684,0.0,0.0,0.0,0.0,1.936,6.486,46.972,3.088,19.82,1.303,6.55,0.431,5.081,0.334,,,30.905,0.034,0.019,0.133,0.008,0.009,0.006,0.215,0.0,0.0,0.0,0.649,0.015,,0.0,0.0,0.955,0.044,,0.15,0.001,0.001,0.002,0.0,98.65,29.45,16.849,246.542
8149,Cameroon,2014,CMR,22299590.0,63390306304.0,0.504,0.023,8.772,0.922,11.746,36.288,-4.318,-10.633,1.627,0.572,0.838,0.393,0.138,0.203,0.0,0.0,10.523,0.472,0.166,11.458,175.757,2273.654,0.263,4.698,4.95,3307.932,154.388,,1941.542,0.683,1.687,0.076,0.85,0.038,3.881,5.412,27.517,1.234,14.59,0.654,62.28,2.793,5.73,0.257,,,43.296,0.034,0.025,0.09,0.0,0.034,0.012,0.104,0.0,0.03,0.002,0.465,0.03,,0.435,0.013,0.56,0.049,,0.185,0.001,0.002,0.003,0.0,120.69,86.55,1.751,19.967
8386,Canada,2014,CAN,35404616.0,1552197222400.0,5.912,0.167,569.84,-2.774,-0.484,693.939,4.481,0.65,19.6,0.447,0.173,16.095,0.367,0.142,76.686,2.166,561.374,15.856,0.362,328.832,30159.445,67851.961,9279.663,518.415,6718.901,37692.887,13240.17,73.466,113198.414,2.582,16.889,0.477,211.162,5.964,19.95,23.786,124.1,3.505,92.23,2.605,41.52,1.173,256.683,7.25,0.071,2.509,4007.746,0.394,1.602,1.714,0.509,0.963,2.033,3.098,1.322,3.318,3.318,5.298,2.538,0.97,4.354,3.173,2.524,2.198,0.823,2.163,0.005,0.025,0.031,0.001,842.14,706.32,-8.465,-1.486
8558,Cape Verde,2014,CPV,546083.0,3375217920.0,0.0,0.0,0.487,-0.007,-1.481,0.487,-0.081,-14.194,0.892,0.144,0.126,0.892,0.144,0.126,0.0,0.0,,,,0.072,11.204,15.564,0.244,0.0,0.0,8.024,10.888,,7077.256,1.145,0.0,0.0,0.0,0.0,1.227,1.117,0.0,0.0,0.09,0.165,0.07,0.128,0.487,0.892,,,3.865,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.002,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,0.61,0.67,,
8730,Central African Republic,2014,CAF,4798739.0,2960957952.0,0.0,0.0,0.125,0.007,6.25,2.14,-1.129,-34.529,0.446,0.723,1.872,0.026,0.042,0.109,0.0,0.0,,,,0.0,9.332,385.698,0.0,0.0,0.0,867.818,9.332,,238.238,0.386,0.0,0.0,0.0,0.0,4.303,10.178,2.015,0.42,16.69,3.478,18.02,3.755,0.125,0.026,,,1.143,0.0,0.0,0.005,0.0,0.0,0.001,0.018,0.0,0.0,0.0,0.122,0.002,,0.0,0.0,0.041,0.001,,0.081,0.001,0.0,0.001,0.0,48.84,20.65,,
8902,Central America (GCP),2014,,,,,,179.678,,,,,,,,,,,,,,167.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9074,Chad,2014,TCD,13697128.0,30490775552.0,0.077,0.006,1.857,0.372,25.034,25.416,-12.232,-32.491,1.856,0.834,6.109,0.136,0.061,0.446,0.0,0.0,,,,0.202,23.255,551.641,0.0,0.754,0.0,1128.512,22.299,,303.739,0.136,0.306,0.022,0.0,0.0,4.582,6.539,23.56,1.72,40.5,2.957,20.45,1.493,1.473,0.108,,,4.16,0.005,0.005,0.063,0.0,0.001,0.002,0.025,0.0,0.005,0.0,0.159,0.004,,0.079,0.0,0.479,0.013,,0.13,0.001,0.0,0.002,0.0,89.57,62.76,,
9246,Chile,2014,CHL,17687108.0,377993625600.0,1.022,0.058,77.59,-4.147,-5.074,115.915,-2.901,-2.442,6.554,0.307,0.283,4.387,0.205,0.189,24.389,1.379,83.152,4.701,0.22,50.445,2400.966,6137.917,739.611,78.04,245.792,4424.134,1287.078,,23154.375,1.083,0.064,0.004,8.296,0.469,5.453,0.862,38.325,2.167,10.9,0.616,6.87,0.388,43.82,2.478,,,409.534,0.068,0.218,0.286,0.162,0.148,0.162,0.28,0.105,0.499,0.121,0.622,0.247,,0.016,0.125,0.779,0.375,,0.262,0.001,0.002,0.004,0.0,15.25,96.45,5.562,7.168
9418,China,2014,CHN,1385189632.0,16220856254464.0,778.627,0.562,9998.621,42.312,0.425,10441.892,440.662,4.406,7.538,0.644,0.301,7.218,0.616,0.288,7425.067,5.36,8824.854,6.371,0.544,10109.773,176186.375,230331.828,135150.453,41.715,3206.586,57770.617,23973.047,3704.798,25072.023,2.141,3.878,0.003,370.222,0.267,8.618,8.106,443.271,0.32,1161.42,0.838,534.42,0.386,1255.605,0.906,0.119,165.223,34729.508,51.912,28.104,25.785,49.331,29.621,11.877,10.516,19.253,0.267,1.584,8.119,4.596,48.892,1.0,5.563,9.014,10.751,54.195,10.777,0.053,0.095,0.155,0.008,11228.48,11938.03,-1173.766,-11.739
9589,Christmas Island,2014,CXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,
9761,Colombia,2014,COL,46677944.0,597109833728.0,5.277,0.113,97.858,9.753,11.07,179.785,-44.4,-19.805,3.852,0.301,0.352,2.096,0.164,0.192,18.049,0.387,131.617,2.82,0.22,152.087,2873.559,17059.357,640.615,56.806,502.142,19670.439,1521.91,,10938.481,0.855,1.627,0.035,23.482,0.503,3.735,4.952,81.927,1.755,69.8,1.495,21.07,0.451,49.424,1.059,,,510.586,0.352,0.275,0.444,0.12,0.446,0.194,0.779,0.091,0.364,0.248,2.765,0.292,,0.419,0.353,1.666,0.423,,0.858,0.004,0.008,0.012,0.0,231.15,174.36,33.758,34.497
9933,Comoros,2014,COM,714617.0,1263249024.0,0.0,0.0,0.161,-0.022,-12.0,0.198,-0.022,-10.0,0.277,0.157,0.282,0.226,0.128,0.23,0.0,0.0,,,,0.0,3.781,12.245,0.0,0.0,0.0,16.635,3.781,,981.591,0.555,0.0,0.0,0.0,0.0,0.644,0.728,0.037,0.051,0.24,0.336,0.05,0.07,0.161,0.226,,,0.701,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.001,,0.0,0.0,0.001,0.001,,0.002,0.0,0.0,0.0,0.0,0.52,0.46,,
10105,Congo,2014,COG,4944865.0,30068551680.0,0.178,0.036,5.47,-0.423,-7.174,24.266,-8.85,-26.724,4.907,0.807,0.827,1.106,0.182,0.186,0.0,0.0,,,,1.089,64.33,1085.267,0.0,12.874,2.878,3415.324,47.488,,5931.768,0.975,2.367,0.479,0.523,0.106,2.944,4.892,18.796,3.801,7.2,1.456,1.92,0.388,2.401,0.486,,,29.332,0.012,0.015,0.06,0.0,0.003,0.004,0.05,0.0,0.082,0.001,0.48,0.009,,0.61,0.008,0.382,0.021,,0.119,0.001,0.001,0.002,0.0,24.19,14.56,,
10276,Cook Islands,2014,COK,17842.0,,0.0,0.0,0.077,0.0,0.0,,,,,,,4.313,,0.171,0.0,0.0,,,,0.0,1.861,,0.0,0.0,0.0,,1.861,,25269.025,,0.0,0.0,0.0,0.0,5.044,5.044,,,0.01,0.56,0.0,0.0,0.077,4.313,,,0.451,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.001,,0.0,0.0,0.0,0.0,0.0,0.09,0.09,,
10448,Costa Rica,2014,CRI,4844293.0,62954872832.0,0.582,0.12,7.748,0.117,1.53,9.397,0.117,1.258,1.94,0.149,0.165,1.599,0.123,0.136,0.026,0.005,12.124,2.503,0.193,17.24,206.474,1364.408,0.773,0.0,0.0,2041.764,188.461,,11726.931,0.902,0.0,0.0,0.0,0.0,2.985,1.482,1.649,0.34,4.31,0.89,1.76,0.363,7.141,1.474,,,56.809,0.039,0.022,0.023,0.0,0.051,0.014,0.062,0.0,0.0,0.0,0.287,0.036,,0.0,0.0,0.034,0.061,,0.066,0.0,0.001,0.001,0.0,7.18,14.46,4.376,56.472
10720,Cote d'Ivoire,2014,CIV,22995554.0,75601084416.0,0.0,0.0,9.903,0.223,2.308,37.786,-14.982,-28.392,1.643,0.5,0.747,0.431,0.131,0.196,0.0,0.0,13.365,0.581,0.177,0.0,270.585,12609.215,0.0,0.518,51.44,12338.63,218.626,,2198.274,0.669,0.164,0.007,3.781,0.164,0.951,2.11,27.883,1.213,7.24,0.315,3.18,0.138,5.958,0.259,,,50.551,0.0,0.028,0.093,0.0,0.0,0.018,0.576,0.0,0.003,0.025,1.734,0.042,,0.042,0.057,0.567,0.051,,0.313,0.0,0.004,0.005,0.0,48.52,21.88,3.461,34.951
10892,Croatia,2014,HRV,4283968.0,77088243712.0,1.225,0.286,17.682,-0.751,-4.072,16.766,0.385,2.352,3.914,0.217,0.175,4.127,0.229,0.184,2.57,0.6,19.135,4.467,0.248,71.575,993.267,1739.441,129.497,16.913,171.098,1067.03,599.469,4.716,22411.172,1.245,0.441,0.103,4.305,1.005,5.135,4.785,-0.916,-0.214,3.64,0.85,1.7,0.397,8.992,2.099,0.035,0.149,96.009,0.082,0.05,0.041,0.017,0.21,0.067,0.079,0.018,0.108,0.084,0.15,0.115,0.062,0.114,0.065,-0.019,0.077,0.049,0.065,0.0,0.001,0.001,0.0,20.5,22.0,1.453,8.22
11064,Cuba,2014,CUB,11332030.0,85723463680.0,0.713,0.063,27.608,-0.517,-1.837,17.899,0.619,3.583,1.579,0.209,0.14,2.436,0.322,0.216,0.004,0.0,,,,54.964,1466.631,4568.024,11.212,0.364,28.649,4123.905,1371.443,,11257.336,1.488,0.166,0.015,2.305,0.203,3.813,2.693,-9.71,-0.857,12.25,1.081,3.86,0.341,24.421,2.155,,,127.568,0.048,0.078,0.044,0.0,0.161,0.099,0.209,0.002,0.002,0.014,0.58,0.263,,0.043,0.035,-0.197,0.209,,0.207,0.001,0.002,0.003,0.0,30.52,43.21,,
11236,Curacao,2014,CUW,168034.0,,0.0,0.0,6.408,0.905,16.445,6.445,0.905,16.336,38.355,,,38.137,,,0.0,0.0,,,,0.0,548.844,553.094,0.0,0.0,0.0,4.58,548.844,,,,0.0,0.0,0.0,0.0,,,0.037,0.218,,,,,6.408,38.137,,,,0.0,0.018,0.016,0.0,0.0,0.037,0.025,0.0,0.0,0.0,0.001,0.105,,0.0,0.0,0.001,0.055,,0.017,,0.0,0.0,,,,,
11408,Cyprus,2014,CYP,1176997.0,24451190784.0,0.974,0.827,6.952,0.368,5.592,7.538,2.823,59.869,6.405,0.308,0.266,5.907,0.284,0.246,0.009,0.008,7.11,6.041,0.291,28.004,250.042,205.927,3.676,0.0,0.027,70.825,217.134,1.201,24039.48,1.157,0.0,0.0,0.0,0.0,6.916,6.644,0.586,0.498,0.7,0.595,0.34,0.289,5.957,5.061,0.01,0.012,28.294,0.065,0.02,0.019,0.0,0.082,0.017,0.009,0.001,0.0,0.0,0.01,0.042,0.016,0.0,0.0,0.012,0.051,0.004,0.011,0.0,0.0,0.0,0.0,7.82,8.14,0.158,2.274
11580,Czechia,2014,CZE,10517178.0,283780743168.0,1.483,0.141,104.229,-2.483,-2.326,90.892,-2.446,-2.62,8.642,0.32,0.189,9.91,0.367,0.217,64.88,6.169,102.936,9.787,0.363,137.363,11361.248,11161.23,9313.878,8.045,570.009,-90.757,1291.062,40.892,45633.582,1.691,0.203,0.019,15.113,1.437,11.233,10.888,-13.337,-1.268,12.76,1.213,5.1,0.485,20.832,1.981,0.163,1.719,479.937,0.099,0.293,0.224,0.431,0.402,0.766,0.51,1.327,0.051,0.281,-0.013,0.248,0.54,0.052,0.227,-0.271,0.178,0.564,0.388,0.001,0.005,0.006,0.0,114.51,118.14,-1.293,-1.24
11752,Democratic Republic of Congo,2014,COD,76035592.0,66862399488.0,0.128,0.002,4.631,1.093,30.908,786.052,-174.009,-18.125,10.338,11.756,16.598,0.061,0.069,0.098,0.0,0.0,,,,11.257,177.957,19445.688,45.929,0.0,0.246,20542.254,120.526,,622.852,0.708,0.0,0.0,0.004,0.0,0.694,8.914,781.421,10.277,43.18,0.568,26.68,0.351,4.499,0.059,,,47.359,0.009,0.013,1.941,0.0,0.033,0.012,0.888,0.007,0.0,0.0,2.887,0.023,,0.0,0.0,15.89,0.039,,0.619,0.001,0.007,0.009,0.0,677.77,52.79,,
11931,Denmark,2014,DNK,5650654.0,249673711616.0,0.887,0.157,37.578,-4.195,-10.043,38.237,-7.126,-15.71,6.767,0.153,0.191,6.65,0.151,0.188,10.143,1.795,51.045,9.033,0.204,73.582,3884.507,5080.602,1806.932,17.29,235.213,1197.578,1738.708,12.783,35394.48,0.801,0.25,0.044,6.816,1.206,8.829,8.484,0.66,0.117,8.2,1.451,5.09,0.901,19.085,3.377,0.07,0.396,200.002,0.059,0.106,0.094,0.067,0.216,0.262,0.232,0.257,0.111,0.116,0.168,0.333,0.169,0.065,0.102,0.013,0.163,0.13,0.189,0.0,0.002,0.003,0.0,47.94,49.89,13.467,35.838
12103,Djibouti,2014,DJI,989091.0,2286629888.0,0.066,0.067,0.388,-0.168,-30.247,0.462,-0.168,-26.729,0.467,0.202,0.112,0.393,0.17,0.094,0.0,0.0,,,,0.124,16.517,20.474,0.0,0.0,0.0,3.957,16.393,,4183.972,1.81,0.0,0.0,0.0,0.0,1.345,1.345,0.073,0.074,0.64,0.647,0.26,0.263,0.322,0.326,,,4.138,0.004,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.003,,0.0,0.0,0.001,0.003,,0.004,0.0,0.0,0.0,0.0,1.33,1.33,,
12275,Dominica,2014,DMA,69388.0,694011008.0,0.0,0.0,0.176,0.007,4.348,0.066,0.007,12.5,0.95,0.095,0.084,2.535,0.253,0.225,0.0,0.0,,,,0.0,3.833,3.283,0.0,0.0,0.0,1.466,3.833,,11281.383,1.128,0.0,0.0,0.0,0.0,3.603,3.459,-0.11,-1.584,0.04,0.576,0.02,0.288,0.176,2.535,,,0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,,0.0,0.0,-0.002,0.002,,0.0,0.0,0.0,0.0,0.0,0.24,0.25,,
12447,Dominican Republic,2014,DOM,10282116.0,129713741824.0,1.945,0.189,21.801,0.534,2.509,20.775,0.46,2.266,2.02,0.16,0.237,2.12,0.168,0.248,3.195,0.311,36.868,3.586,0.284,39.062,594.573,1379.988,32.698,0.0,13.883,1485.825,508.93,,8537.962,0.677,0.0,0.0,2.004,0.195,3.315,3.202,-1.026,-0.1,8.71,0.847,2.98,0.29,14.656,1.425,,,87.788,0.13,0.061,0.051,0.021,0.114,0.04,0.063,0.005,0.0,0.007,0.209,0.098,,0.0,0.03,-0.021,0.125,,0.082,0.0,0.001,0.001,0.0,32.92,34.09,15.068,69.115
12619,East Timor,2014,TLS,1184842.0,,0.0,0.0,0.568,0.037,6.897,4.012,-0.476,-10.612,3.386,,1.84,0.479,,0.26,0.0,0.0,,,,0.0,4.73,76.545,0.0,1.703,0.0,400.915,3.027,,1840.639,,0.131,0.111,0.0,0.0,5.781,6.178,3.444,2.907,6.07,5.123,0.25,0.211,0.437,0.369,,,2.181,0.0,0.002,0.01,0.0,0.0,0.0,0.003,0.0,0.011,0.0,0.056,0.001,,0.034,0.0,0.07,0.004,,0.015,0.0,0.0,0.0,0.0,7.32,6.85,,
12791,Ecuador,2014,ECU,15957995.0,172762087424.0,2.602,0.163,43.731,4.076,10.28,74.399,25.95,53.563,4.662,0.431,0.395,2.74,0.253,0.232,0.0,0.0,49.502,3.102,0.287,52.743,973.831,4356.729,0.0,52.983,24.644,4033.368,843.461,,11816.219,1.091,1.887,0.118,1.63,0.102,4.736,5.805,30.668,1.922,27.83,1.744,5.33,0.334,37.611,2.357,,,188.563,0.174,0.123,0.184,0.0,0.155,0.066,0.199,0.0,0.339,0.012,0.567,0.162,,0.487,0.025,0.624,0.322,,0.234,0.001,0.002,0.003,0.0,92.63,75.58,5.77,13.195
12963,Egypt,2014,EGY,95592328.0,1018607042560.0,20.76,0.217,226.899,15.48,7.322,228.805,16.396,7.719,2.394,0.225,0.239,2.374,0.223,0.237,1.495,0.016,240.688,2.518,0.236,403.594,4958.26,5268.931,126.72,34.923,1382.608,353.466,3010.416,,9999.618,0.938,5.231,0.055,81.7,0.855,3.255,3.265,1.905,0.02,66.61,0.697,22.32,0.233,117.713,1.231,,,955.887,1.384,0.638,0.565,0.01,1.183,0.334,0.241,0.018,0.224,0.683,0.05,0.577,,1.349,1.228,0.039,1.008,,0.391,0.003,0.002,0.006,0.0,312.08,311.17,13.789,6.077
13135,El Salvador,2014,SLV,6209528.0,49026875392.0,0.388,0.062,6.151,0.057,0.93,4.979,-0.493,-9.009,0.802,0.102,0.133,0.991,0.125,0.165,0.004,0.001,7.99,1.287,0.163,15.702,193.185,366.822,0.077,0.0,0.0,642.592,177.406,,6015.019,0.762,0.0,0.0,0.0,0.0,1.897,2.071,-1.172,-0.189,3.72,0.599,1.21,0.195,5.76,0.928,,,37.35,0.026,0.017,0.012,0.0,0.046,0.013,0.017,0.0,0.0,0.0,0.09,0.034,,0.0,0.0,-0.024,0.049,,0.046,0.0,0.0,0.001,0.0,12.86,11.78,1.839,29.895
13307,Equatorial Guinea,2014,GNQ,1295193.0,30256852992.0,0.0,0.0,7.672,-0.524,-6.393,7.196,-0.597,-7.664,5.556,0.238,0.23,5.924,0.254,0.245,0.0,0.0,,,,0.0,103.971,247.746,0.0,49.516,35.315,272.748,19.139,,24158.016,1.034,1.238,0.956,5.13,3.96,12.577,15.542,-0.476,-0.368,8.13,6.277,0.04,0.031,1.304,1.007,,,31.289,0.0,0.022,0.018,0.0,0.0,0.007,0.011,0.0,0.317,0.017,0.038,0.004,,0.319,0.077,-0.01,0.011,,0.041,0.0,0.0,0.001,0.0,20.13,16.29,,
13479,Eritrea,2014,ERI,3323429.0,,0.089,0.027,0.631,0.011,1.706,1.657,0.743,81.34,0.499,,0.696,0.19,,0.265,0.0,0.0,,,,0.711,13.553,50.449,0.0,0.0,0.0,158.908,12.842,,716.541,,0.0,0.0,0.0,0.0,1.772,1.887,1.026,0.309,3.54,1.065,1.66,0.499,0.542,0.163,,,2.381,0.006,0.002,0.004,0.0,0.002,0.001,0.002,0.0,0.0,0.0,0.022,0.002,,0.0,0.0,0.021,0.005,,0.019,0.0,0.0,0.0,0.0,6.27,5.89,,
13655,Estonia,2014,EST,1314531.0,31037874176.0,0.422,0.321,18.86,-0.838,-4.252,17.065,0.152,0.897,12.982,0.55,0.23,14.348,0.608,0.254,14.072,10.705,17.345,13.194,0.559,20.851,1538.183,1572.148,1100.771,2.841,67.03,118.42,344.936,1.753,56413.82,2.389,0.0,0.0,1.022,0.777,15.785,11.107,-1.795,-1.366,1.19,0.905,1.4,1.065,3.294,2.505,0.039,0.051,74.158,0.028,0.053,0.042,0.093,0.061,0.104,0.072,0.157,0.018,0.033,0.017,0.066,0.023,0.0,0.015,-0.037,0.028,0.017,0.068,0.0,0.001,0.001,0.0,14.6,20.75,-1.516,-8.037
